Title,Brand,Model,Price/Sq ft.,Price/Case,Store Pick Stock,Ship to Home Stock,Schedule Delivery Stock
Alexandria Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I1449109L,$3.69,$74.02,Null,Null,Null
Balsam Wilderness 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft./case),Lifeproof,Model #I1649114L,$3.69,$74.02,Null,Null,Null
Big Sur Cypress 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I062012L,$3.69,$74.02,Null,Null,Null
Burnt Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft./Case),Lifeproof,Model #I966103L,$4.49,$90.04,85,Null,Null
Chiffon Lace Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I412211L,$4.49,$90.04,334,Null,Null
Choice Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I966104L,$4.49,$90.04,313,Null,Null
Colorado 8.7 in. W x 47.64 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft.),Lifeproof,Model #I538104L,$3.69,$74.02,Null,Null,Null
Driftwood Beach 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft./case),Lifeproof,Model #I04229L,$3.69,$74.02,Null,Null,Null
Dusk Cherry 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I06204L,$4.49,$90.04,405,Null,Null
Dusk Cherry 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I96715L,$3.69,$74.02,Null,Null,Null
Fresh Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I96711L,$4.49,$90.04,334,Null,Null
Heirloom Pine 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I969104L,$4.49,$90.04,58,Null,Null
Lighthouse Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft./case),Lifeproof,Model #I106511L,$3.69,$74.02,Null,Null,Null
Nashville Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I106514L,$3.69,$74.02,Null,Null,Null
Restored Wood 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft./case),Lifeproof,Model #I106515L,$3.69,$74.02,Null,Null,Null
Rustic Wood 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft./case),Lifeproof,Model #I969102L,$3.69,$74.02,Null,Null,Null
Scratch Stone 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft./case),Lifeproof,Model #I473106L,$3.69,$74.02,Null,Null,Null
Sterling Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I966106L,$4.49,$90.04,700,Null,Null
Trail Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I96713L,$4.49,$90.04,69,Null,Null
Tupelo Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I536111L,$3.69,$74.02,Null,Null,Null
Woodacres Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft./Case),Lifeproof,Model #I966101L,$4.49,$90.04,73,Null,Null
